"","BirdID","FieldPeriodID","Status","PeriodYear","Island","BirthDate","birthyear","popden","PeriodEnd","BreedGroupID","TerritoryID","newstat","next_status","next_year","next_breedgroup","change","occasionyear","avg_invert","age","SexEstimate"
"31",1213,40,"BrM",2001,"CN",1997-07-27,1997,305,2001-07-26,3170,48,"Dom","Sub",2002,803,"br2sub",NA,NA,4,1
"32",1242,22,"BrM",1997,"CN",1996-12-21,1996,379,1997-08-28,2307,120,"Dom","Sub",1998,171,"br2sub",1997,6.34906043057842,1,1
"33",1244,82,"BrF",2007,"CN",1997-05-02,1997,396,2007-09-16,4241,71,"Dom","Sub",2008,4366,"br2sub",2007,2.00111878419741,10,0
"34",1272,54,"BrF",2005,"CN",1997-01-25,1997,389,2005-12-11,6396,168,"Dom","Sub",2006,3868,"br2sub",NA,NA,8,0
"35",1276,25,"BrM",1998,"CN",1997-01-28,1997,325,1998-09-27,276,165,"Dom","Sub",1999,2460,"br2sub",1998,3.40909704468116,1,1
"36",1370,26,"BrM",1999,"CN",1997-07-23,1997,295,1999-01-29,2433,64,"Dom","Sub",1999,2496,"br2sub",1999,1.51550549589335,2,1
"37",1388,31,"BrF",2003,"CN",1998-08-05,1998,353,2004-01-14,2626,49,"Dom","Sub",2004,2730,"br2sub",NA,NA,5,0
"38",1403,54,"BrF",2005,"CN",1997-09-15,1997,389,2005-12-11,6373,101,"Dom","Sub",2006,3837,"br2sub",NA,NA,8,0
"39",1429,39,"BrF",2000,"CN",1999-01-12,1999,404,2000-08-13,3116,134,"Dom","Helper",2001,3231,"br2help",NA,NA,1,0
"40",1441,40,"BrM",2001,"CN",1999-07-13,1999,305,2001-07-26,3177,55,"Dom","Sub",2002,812,"br2sub",NA,NA,2,1
"41",1485,28,"BrM",1999,"CN",1998-07-26,1998,376,1999-09-26,361,17,"Dom","Sub",2000,3038,"br2sub",1999,5.15521640609487,1,1
"42",1489,118,"BrM",2013,"CN",1999-07-30,1999,318,2013-02-27,5922,118,"Dom","Sub",2013,6186,"br2sub",2013,4.09578878614323,14,1
"43",1492,40,"BrM",2001,"CN",1999-04-03,1999,305,2001-07-26,7007,167,"Dom","Sub",2002,852,"br2sub",NA,NA,2,1
"44",1500,31,"BrM",2003,"CN",1999-05-17,1999,353,2004-01-14,2607,24,"Dom","Sub",2004,2724,"br2sub",NA,NA,4,1
"45",1524,40,"BrM",2001,"CN",1999-08-31,1999,305,2001-07-26,3232,135,"Dom","Sub",2002,826,"br2sub",NA,NA,2,1
"46",1551,41,"BrM",2002,"CN",1999-07-25,1999,396,2002-10-02,839,125,"Dom","Sub",2003,530,"br2sub",NA,NA,3,1
"47",1573,40,"BrF",2001,"CN",2000-03-31,2000,305,2001-07-26,3167,43,"Dom","Sub",2002,3251,"br2sub",NA,NA,1,0
"48",1577,118,"BrM",2013,"CN",2000-04-04,2000,318,2013-02-27,5890,63,"Dom","Sub",2013,6134,"br2sub",2013,4.09578878614323,13,1
"49",1605,118,"BrF",2013,"CN",2000-11-06,2000,318,2013-02-27,5644,8,"Dom","Helper",2013,6104,"br2help",2013,4.09578878614323,13,0
"50",1607,122,"BrM",2013,"CN",2001-06-24,2001,355,2013-09-30,6164,13,"Dom","Sub",2014,6426,"br2sub",2013,3.25588827134803,12,1
"51",1669,104,"BrF",2010,"CN",2001-07-24,2001,336,2010-09-10,5004,68,"Dom","Helper",2011,5121,"br2help",2010,3.43745237720491,9,0
"52",1677,30,"BrM",2003,"CN",2001-12-06,2001,373,2003-09-02,544,160,"Dom","Sub",2003,2698,"br2sub",2003,3.65308711255895,2,1
"53",1685,92,"BrF",2009,"CN",2002-07-30,2002,349,2009-09-18,4776,116,"Dom","Sub",2010,5558,"br2sub",2009,4.55094243891926,7,0
"54",1707,30,"BrF",2003,"CN",2001-12-19,2001,373,2003-09-02,503,77,"Dom","Sub",2003,2651,"br2sub",2003,3.65308711255895,2,0
"55",1731,118,"BrM",2013,"CN",2002-07-21,2002,318,2013-02-27,5920,112,"Dom","Sub",2013,6128,"br2sub",2013,4.09578878614323,11,1
"56",1756,35,"BrM",2005,"CN",2001-09-20,2001,328,2005-01-12,2958,123,"Dom","Sub",2005,3006,"br2sub",2005,5.85391449056688,4,1
"57",1776,82,"BrF",2007,"CN",2002-10-31,2002,396,2007-09-16,4247,77,"Dom","Sub",2008,4424,"br2sub",2007,2.00111878419741,5,0
"58",1780,31,"BrM",2003,"CN",2002-11-03,2002,353,2004-01-14,2658,86,"Dom","Sub",2004,2774,"br2sub",NA,NA,1,1
"59",1782,103,"BrF",2010,"CN",2002-07-07,2002,297,2010-03-19,5531,70,"Dom","Sub",2010,5006,"br2sub",2010,2.94367555463228,8,0
"60",1785,35,"BrM",2005,"CN",2002-11-11,2002,328,2005-01-12,2961,128,"Dom","Sub",2005,735,"br2sub",2005,5.85391449056688,3,1
"61",1791,104,"BrF",2010,"CN",2002-07-17,2002,336,2010-09-10,4963,7,"Dom","Sub",2011,5094,"br2sub",2010,3.43745237720491,8,0
"62",1828,54,"BrF",2005,"CN",2003-08-11,2003,389,2005-12-11,6308,26,"Dom","Sub",2006,3779,"br2sub",NA,NA,2,0
"63",1829,118,"BrM",2013,"CN",2003-08-18,2003,318,2013-02-27,5923,121,"Dom","Sub",2013,6187,"br2sub",2013,4.09578878614323,10,1
"64",1852,124,"BrF",2014,"CN",2003-08-20,2003,316,2014-03-04,6450,26,"Dom","Sub",2014,6696,"br2sub",2014,6.32106875513502,11,0
"65",1854,87,"BrF",2008,"CN",2003-08-20,2003,368,2008-09-07,4525,43,"Dom","Sub",2009,4092,"br2sub",2008,2.59212595036396,5,0
"66",1864,118,"BrF",2013,"CN",2003-07-28,2003,318,2013-02-27,5943,168,"Dom","Sub",2013,6202,"br2sub",2013,4.09578878614323,10,0
"67",1872,34,"BrF",2004,"CN",2003-08-17,2003,315,2004-09-02,2834,26,"Dom","Sub",2005,2892,"br2sub",2004,3.18841004325798,1,0
"68",1877,122,"BrM",2013,"CN",2003-09-24,2003,355,2013-09-30,6188,125,"Dom","Sub",2014,6536,"br2sub",2013,3.25588827134803,10,1
"69",1878,54,"BrM",2005,"CN",2001-12-24,2001,389,2005-12-11,6366,90,"Dom","Sub",2006,3849,"br2sub",NA,NA,4,1
"70",2975,54,"BrF",2005,"CN",2004-02-09,2004,389,2005-12-11,6330,32,"Dom","Sub",2006,3783,"br2sub",NA,NA,1,0
"71",2976,82,"BrM",2007,"CN",2003-10-10,2003,396,2007-09-16,4299,173,"Dom","Sub",2008,4424,"br2sub",2007,2.00111878419741,4,1
"72",2978,104,"BrF",2010,"CN",2003-06-07,2003,336,2010-09-10,5017,86,"Dom","Helper",2011,5133,"br2help",2010,3.43745237720491,7,0
"73",2986,104,"BrF",2010,"CN",2004-03-06,2004,336,2010-09-10,5014,82,"Dom","Sub",2011,5194,"br2sub",2010,3.43745237720491,6,0
"74",2993,54,"BrF",2005,"CN",2001-08-21,2001,389,2005-12-11,6392,159,"Dom","Sub",2006,3864,"br2sub",NA,NA,4,0
"75",3017,75,"BrF",2006,"CN",2004-09-13,2004,389,2006-09-02,3876,403,"Dom","Sub",2007,3906,"br2sub",2006,3.14873123228241,2,0
"76",3022,118,"BrF",2013,"CN",2003-12-27,2003,318,2013-02-27,5886,59,"Dom","Sub",2013,6171,"br2sub",2013,4.09578878614323,10,0
"77",3087,122,"BrM",2013,"CN",2004-08-28,2004,355,2013-09-30,6149,27,"Dom","Sub",2014,6514,"br2sub",2013,3.25588827134803,9,1
"78",3134,26,"BrF",1999,"CN",1996-07-30,1996,295,1999-01-29,2419,43,"Dom","Sub",1999,2478,"br2sub",1999,1.51550549589335,3,0
"79",3455,75,"BrF",2006,"CN",2005-04-16,2005,389,2006-09-02,3862,155,"Dom","Sub",2007,3952,"br2sub",2006,3.14873123228241,1,0
"80",3456,176,"BrM",2021,"CN",2004-06-13,2004,364,2021-09-30,8438,407,"Dom","Sub",2022,8664,"br2sub",2021,4.46788579255577,17,1
"81",3505,77,"BrF",2007,"CN",2005-03-30,2005,379,2007-01-29,3932,72,"Dom","Helper",2007,4243,"br2help",2007,2.69293973167199,2,0
"82",3507,87,"BrF",2008,"CN",2004-07-30,2004,368,2008-09-07,4593,144,"Dom","Sub",2009,7732,"br2sub",2008,2.59212595036396,4,0
"83",3516,90,"BrF",2009,"CN",2005-04-18,2005,332,2009-03-03,4121,80,"Dom","Helper",2009,4754,"br2help",2009,3.28909595669203,4,0
"84",3518,116,"BrF",2012,"CN",2005-08-05,2005,321,2012-09-30,5300,101,"Dom","Sub",2013,5915,"br2sub",2012,4.47840260394996,7,0
"85",3567,124,"BrF",2014,"CN",2004-12-22,2004,316,2014-03-04,6443,83,"Dom","Sub",2014,6723,"br2sub",2014,6.32106875513502,10,0
"86",3580,85,"BrF",2008,"CN",2005-08-17,2005,368,2008-02-21,4388,99,"Dom","Sub",2008,4617,"br2sub",2008,1.83148956081149,3,0
"87",3595,104,"BrF",2010,"CN",2005-08-31,2005,336,2010-09-10,5020,90,"Dom","Helper",2011,5136,"br2help",2010,3.43745237720491,5,0
"88",3596,118,"BrF",2013,"CN",2005-08-24,2005,318,2013-02-27,5925,125,"Dom","Sub",2013,6188,"br2sub",2013,4.09578878614323,8,0
"89",3644,87,"BrM",2008,"CN",2005-09-29,2005,368,2008-09-07,4577,113,"Dom","Sub",2009,4141,"br2sub",2008,2.59212595036396,3,1
"90",3694,122,"BrF",2013,"CN",2004-12-06,2004,355,2013-09-30,6123,123,"Dom","Sub",2014,6468,"br2sub",2013,3.25588827134803,9,0
"91",3695,82,"BrF",2007,"CN",2005-10-07,2005,396,2007-09-16,4291,155,"Dom","Sub",2008,4414,"br2sub",2007,2.00111878419741,2,0
"92",3698,142,"BrF",2015,"CN",2004-12-06,2004,433,2015-09-29,7158,118,"Dom","Sub",2016,7385,"br2sub",2015,4.85534727125805,11,0
"93",4868,82,"BrF",2007,"CN",2006-04-21,2006,396,2007-09-16,4283,134,"Dom","Sub",2008,4438,"br2sub",2007,2.00111878419741,1,0
"94",4881,87,"BrM",2008,"CN",2005-12-15,2005,368,2008-09-07,4551,76,"Dom","Sub",2009,4118,"br2sub",2008,2.59212595036396,3,1
"95",4888,104,"BrM",2010,"CN",2006-08-15,2006,336,2010-09-10,5011,77,"Dom","Sub",2011,5185,"br2sub",2010,3.43745237720491,4,1
"96",4941,118,"BrF",2013,"CN",2006-10-11,2006,318,2013-02-27,5659,33,"Dom","Sub",2013,6165,"br2sub",2013,4.09578878614323,7,0
"97",4948,122,"BrM",2013,"CN",2006-10-13,2006,355,2013-09-30,6181,96,"Dom","Sub",2014,6454,"br2sub",2013,3.25588827134803,7,1
"98",4959,77,"BrM",2007,"CN",2006-05-19,2006,379,2007-01-29,3981,159,"Dom","Sub",2007,4307,"br2sub",2007,2.69293973167199,1,1
"99",4965,103,"BrF",2010,"CN",2006-10-20,2006,297,2010-03-19,5564,127,"Dom","Helper",2010,5040,"br2help",2010,2.94367555463228,4,0
"100",4970,92,"BrF",2009,"CN",2006-11-25,2006,349,2009-09-18,4811,479,"Dom","Sub",2010,5527,"br2sub",2009,4.55094243891926,3,0
"101",5009,173,"BrF",2019,"CN",2006-10-24,2006,406,2019-09-23,8287,516,"Dom","Sub",2020,8378,"br2sub",2019,4.91754018114599,13,0
"102",5077,173,"BrM",2019,"CN",2007-04-26,2007,406,2019-09-23,8282,174,"Dom","Sub",2020,8362,"br2sub",2019,4.91754018114599,12,1
"103",5099,90,"BrM",2009,"CN",2006-12-07,2006,332,2009-03-03,4174,172,"Dom","Helper",2009,4806,"br2help",2009,3.28909595669203,3,1
"104",5132,87,"BrF",2008,"CN",2007-01-04,2007,368,2008-09-07,4597,160,"Dom","Sub",2009,4159,"br2sub",2008,2.59212595036396,1,0
"105",5140,90,"BrF",2009,"CN",2007-08-27,2007,332,2009-03-03,4092,43,"Dom","Sub",2009,4794,"br2sub",2009,3.28909595669203,2,0
"106",5174,116,"BrF",2012,"CN",2007-06-06,2007,321,2012-09-30,5351,87,"Dom","Sub",2013,5905,"br2sub",2012,4.47840260394996,5,0
"107",5224,118,"BrF",2013,"CN",2008-05-27,2008,318,2013-02-27,5893,70,"Dom","Helper",2013,6143,"br2help",2013,4.09578878614323,5,0
"108",5226,118,"BrM",2013,"CN",2008-07-10,2008,318,2013-02-27,5942,167,"Dom","Sub",2013,6187,"br2sub",2013,4.09578878614323,5,1
"109",5291,122,"BrM",2013,"CN",2008-10-23,2008,355,2013-09-30,6190,129,"Dom","Sub",2014,6524,"br2sub",2013,3.25588827134803,5,1
"110",5320,118,"BrF",2013,"CN",2008-06-22,2008,318,2013-02-27,5650,15,"Dom","Sub",2013,6115,"br2sub",2013,4.09578878614323,5,0
"111",5337,144,"BrF",2016,"CN",2009-05-13,2009,297,2016-03-09,7352,68,"Dom","Helper",2016,7519,"br2help",2016,2.28246726385627,7,0
"112",5341,118,"BrF",2013,"CN",2008-12-18,2008,318,2013-02-27,5926,126,"Dom","Sub",2013,6189,"br2sub",2013,4.09578878614323,5,0
"113",5465,118,"BrF",2013,"CN",2009-08-28,2009,318,2013-02-27,5666,43,"Dom","Sub",2013,6107,"br2sub",2013,4.09578878614323,4,0
"114",5513,173,"BrM",2019,"CN",2009-11-13,2009,406,2019-09-23,8231,47,"Dom","Sub",2020,8352,"br2sub",2019,4.91754018114599,10,1
"115",5514,166,"BrF",2018,"CN",2009-11-13,2009,357,2018-03-14,7862,57,"Dom","Helper",2018,7991,"br2help",2018,5.90194399427842,9,0
"116",5529,118,"BrM",2013,"CN",2009-11-20,2009,318,2013-02-27,5961,516,"Dom","Sub",2013,6120,"br2sub",2013,4.09578878614323,4,1
"117",5530,159,"BrF",2016,"CN",2009-11-29,2009,327,2016-09-19,7549,82,"Dom","Sub",2017,7623,"br2sub",2016,4.21428620244736,7,0
"118",5536,122,"BrF",2013,"CN",2010-03-28,2010,355,2013-09-30,6145,490,"Dom","Helper",2014,6511,"br2help",2013,3.25588827134803,3,0
"119",5545,118,"BrF",2013,"CN",2010-08-03,2010,318,2013-02-27,5949,544,"Dom","Sub",2013,6199,"br2sub",2013,4.09578878614323,3,0
"120",5559,164,"BrM",2017,"CN",2010-01-05,2010,399,2017-09-20,7734,111,"Dom","Sub",2018,7923,"br2sub",2017,11.6117696290016,7,1
"121",5575,105,"BrF",2011,"CN",2010-08-19,2010,331,2011-10-02,5190,531,"Dom","Helper",2012,5718,"br2help",2011,9.22112790135102,1,0
"122",5590,176,"BrM",2021,"CN",2011-02-28,2011,364,2021-09-30,8412,40,"Dom","Sub",2022,8645,"br2sub",2021,4.46788579255577,10,1
"123",5596,139,"BrF",2015,"CN",2010-11-07,2010,422,2015-03-05,6885,125,"Dom","Helper",2015,7093,"br2help",2015,3.03440265886707,5,0
"124",5597,171,"BrF",2019,"CN",2010-11-06,2010,394,2019-03-09,8133,79,"Dom","Sub",2019,8200,"br2sub",2019,2.98437240804918,9,0
"125",5600,164,"BrF",2017,"CN",2011-03-08,2011,399,2017-09-20,7825,138,"Dom","Sub",2018,7934,"br2sub",2017,11.6117696290016,6,0
"126",5605,118,"BrM",2013,"CN",2010-11-08,2010,318,2013-02-27,5934,139,"Dom","Sub",2013,6153,"br2sub",2013,4.09578878614323,3,1
"127",5606,112,"BrM",2012,"CN",2010-11-08,2010,289,2012-02-28,5736,100,"Dom","Sub",2012,5615,"br2sub",NA,NA,2,1
"128",5611,178,"BrF",2022,"CN",2010-11-05,2010,290,2022-09-14,8777,46,"Dom","Sub",2023,8858,"br2sub",2022,3.15933207700952,12,0
"129",5612,167,"BrM",2018,"CN",2010-11-09,2010,407,2018-09-22,7984,479,"Dom","Sub",2019,8172,"br2sub",2018,3.4286236474738,8,1
"130",5682,118,"BrM",2013,"CN",2011-07-19,2011,318,2013-02-27,5649,14,"Dom","Sub",2013,6114,"br2sub",2013,4.09578878614323,2,1
"131",5686,118,"BrF",2013,"CN",2011-07-24,2011,318,2013-02-27,5939,159,"Dom","Sub",2013,6205,"br2sub",2013,4.09578878614323,2,0
"132",5766,116,"BrF",2012,"CN",2011-09-30,2011,321,2012-09-30,5349,34,"Dom","Sub",2013,5662,"br2sub",2012,4.47840260394996,1,0
"133",5779,178,"BrM",2022,"CN",2011-02-08,2011,290,2022-09-14,8726,58,"Dom","Sub",2023,8866,"br2sub",2022,3.15933207700952,11,1
"134",5823,176,"BrF",2021,"CN",2012-03-05,2012,364,2021-09-30,8444,617,"Dom","Sub",2022,8640,"br2sub",2021,4.46788579255577,9,0
"135",5828,118,"BrM",2013,"CN",2011-10-16,2011,318,2013-02-27,5643,3,"Dom","Sub",2013,6162,"br2sub",2013,4.09578878614323,2,1
"136",5850,175,"BrM",2021,"CN",2012-01-28,2012,313,2021-06-15,8555,516,"Dom","Sub",2021,8832,"br2sub",2021,5.32664501271832,9,1
"137",5909,144,"BrF",2016,"CN",2012-06-23,2012,297,2016-03-09,7383,112,"Dom","Helper",2016,7556,"br2help",2016,2.28246726385627,4,0
"138",6017,122,"BrM",2013,"CN",2012-07-20,2012,355,2013-09-30,6113,53,"Dom","Sub",2014,6518,"br2sub",2013,3.25588827134803,1,1
"139",6018,171,"BrM",2019,"CN",2012-11-24,2012,394,2019-03-09,8131,75,"Dom","Sub",2019,8244,"br2sub",2019,2.98437240804918,7,1
"140",6027,139,"BrM",2015,"CN",2012-12-06,2012,422,2015-03-05,6840,33,"Dom","Sub",2015,7090,"br2sub",2015,3.03440265886707,3,1
"141",6036,167,"BrF",2018,"CN",2012-12-27,2012,407,2018-09-22,8002,618,"Dom","Sub",2019,8118,"br2sub",2018,3.4286236474738,6,0
"142",6045,171,"BrM",2019,"CN",2013-05-17,2013,394,2019-03-09,8107,20,"Dom","Sub",2019,8243,"br2sub",2019,2.98437240804918,6,1
"143",6068,174,"BrF",2020,"CN",2013-02-24,2013,337,2020-03-16,8397,602,"Dom","Sub",2021,8496,"br2sub",2020,2.58767040275742,7,0
"144",6139,171,"BrF",2019,"CN",2014-02-23,2014,394,2019-03-09,8131,75,"Dom","Sub",2019,8187,"br2sub",2019,2.98437240804918,5,0
"145",6163,174,"BrM",2020,"CN",2013-11-05,2013,337,2020-03-16,8357,618,"Dom","Sub",2021,8553,"br2sub",2020,2.58767040275742,7,1
"146",6167,173,"BrM",2019,"CN",2014-03-06,2014,406,2019-09-23,8268,94,"Dom","Sub",2020,8384,"br2sub",2019,4.91754018114599,5,1
"147",6169,166,"BrF",2018,"CN",2014-03-11,2014,357,2018-03-14,7935,140,"Dom","Sub",2018,8029,"br2sub",2018,5.90194399427842,4,0
"148",6174,173,"BrF",2019,"CN",2014-03-13,2014,406,2019-09-23,8192,62,"Dom","Sub",2020,8334,"br2sub",2019,4.91754018114599,5,0
"149",6191,167,"BrF",2018,"CN",2014-07-23,2014,407,2018-09-22,8019,68,"Dom","Sub",2019,8078,"br2sub",2018,3.4286236474738,4,0
"150",6195,184,"BrF",2023,"CN",2014-06-22,2014,259,2023-03-27,8892,105,"Dom","Helper",2023,8953,"br2help",2023,4.43485646140217,9,0
"151",6217,174,"BrF",2020,"CN",2014-05-14,2014,337,2020-03-16,8335,605,"Dom","Sub",2021,8530,"br2sub",2020,2.58767040275742,6,0
"152",6272,173,"BrF",2019,"CN",2014-07-14,2014,406,2019-09-23,8200,637,"Dom","Sub",2020,8388,"br2sub",2019,4.91754018114599,5,0
"153",6279,159,"BrF",2016,"CN",2014-07-12,2014,327,2016-09-19,7578,60,"Dom","Sub",2017,7633,"br2sub",2016,4.21428620244736,2,0
"154",6554,178,"BrF",2022,"CN",2015-09-26,2015,290,2022-09-14,8726,58,"Dom","Sub",2023,8866,"br2sub",2022,3.15933207700952,7,0
"155",6574,173,"BrM",2019,"CN",2015-10-19,2015,406,2019-09-23,8212,636,"Dom","Sub",2020,8360,"br2sub",2019,4.91754018114599,4,1
"156",6644,171,"BrF",2019,"CN",2015-10-07,2015,394,2019-03-09,8090,109,"Dom","Sub",2019,8273,"br2sub",2019,2.98437240804918,4,0
"157",6645,176,"BrM",2021,"CN",2016-02-26,2016,364,2021-09-30,8416,12,"Dom","Sub",2022,8630,"br2sub",2021,4.46788579255577,5,1
"158",6655,176,"BrM",2021,"CN",2015-12-10,2015,364,2021-09-30,8570,48,"Dom","Sub",2022,8750,"br2sub",2021,4.46788579255577,6,1
"159",6656,167,"BrF",2018,"CN",2015-12-10,2015,407,2018-09-22,8005,743,"Dom","Sub",2019,8143,"br2sub",2018,3.4286236474738,3,0
"160",6671,177,"BrM",2022,"CN",2016-05-03,2016,333,2022-03-18,8646,41,"Dom","Sub",2022,8749,"br2sub",2022,4.20351862352767,6,1
"161",6673,173,"BrF",2019,"CN",2015-09-12,2015,406,2019-09-23,8243,20,"Dom","Sub",2020,8319,"br2sub",2019,4.91754018114599,4,0
"162",6690,174,"BrF",2020,"CN",2016-05-19,2016,337,2020-03-16,8295,2,"Dom","Sub",2021,8547,"br2sub",2020,2.58767040275742,4,0
"163",6699,178,"BrF",2022,"CN",2017-01-27,2017,290,2022-09-14,8725,128,"Dom","Sub",2023,8904,"br2sub",2022,3.15933207700952,5,0
"164",6704,167,"BrF",2018,"CN",2016-05-22,2016,407,2018-09-22,8067,167,"Dom","Sub",2019,8091,"br2sub",2018,3.4286236474738,2,0
"165",6707,177,"BrF",2022,"CN",2016-10-09,2016,333,2022-03-18,8623,118,"Dom","Sub",2022,8797,"br2sub",2022,4.20351862352767,6,0
"166",6757,174,"BrF",2020,"CN",2017-06-25,2017,337,2020-03-16,8346,165,"Dom","Sub",2021,8504,"br2sub",2020,2.58767040275742,3,0
"167",6761,167,"BrM",2018,"CN",2016-08-31,2016,407,2018-09-22,8005,743,"Dom","Sub",2019,8084,"br2sub",2018,3.4286236474738,2,1
"168",6764,174,"BrF",2020,"CN",2017-07-11,2017,337,2020-03-16,8322,123,"Dom","Sub",2021,8527,"br2sub",2020,2.58767040275742,3,0
"169",6780,174,"BrF",2020,"CN",2017-07-16,2017,337,2020-03-16,8308,765,"Dom","Sub",2021,8488,"br2sub",2020,2.58767040275742,3,0
"170",6785,178,"BrM",2022,"CN",2016-12-13,2016,290,2022-09-14,8803,138,"Dom","Sub",2023,8908,"br2sub",2022,3.15933207700952,6,1
"171",6788,164,"BrM",2017,"CN",2016-12-12,2016,399,2017-09-20,7842,167,"Dom","Sub",2018,7939,"br2sub",2017,11.6117696290016,1,1
"172",6845,184,"BrF",2023,"CN",2018-01-02,2018,259,2023-03-27,8882,83,"Dom","Helper",2023,9006,"br2help",2023,4.43485646140217,5,0
"173",6864,178,"BrM",2022,"CN",2017-10-03,2017,290,2022-09-14,8733,768,"Dom","Sub",2023,8933,"br2sub",2022,3.15933207700952,5,1
"174",6873,175,"BrF",2021,"CN",2017-10-22,2017,313,2021-06-15,8500,75,"Dom","Sub",2021,8436,"br2sub",2021,5.32664501271832,4,0
